source,split,profile,row,method,gap_rmse,gap_nrmse,gap_mae,visible_rmse,whole_rmse,gap_correlation,whole_correlation
chirp_9db,validation,short_gaps,14362,pca_r64_l001,3.9608000137858816,1.4182496876925466,2.27654058480832,0.0,0.7001771371679419,0.1321989894259353,0.8443596171845206
chirp_9db,validation,short_gaps,14362,pca_r64_l1,2.566312940830442,0.9189235796268287,1.5185703332429021,0.0,0.45366432077699914,0.4031026508696794,0.9304959507295572
chirp_9db,validation,short_gaps,14362,template_1,3.6299915112849264,1.299796583843567,2.3179068351643095,0.0,0.6416979033197939,0.4578665101753646,0.8777575331236009
chirp_9db,validation,short_gaps,14362,dictionary_8,2.5826136568421383,0.9247604018123184,1.83620568677815,0.0,0.4565459074845158,0.4911265336937693,0.9304594148731902
chirp_9db,validation,short_gaps,14362,dictionary_24,2.4447988521681405,0.8754128450035911,1.7008466779608948,0.0,0.432183461751295,0.5285125325419521,0.937492841631338
chirp_9db,validation,short_gaps,14362,dictionary_48,3.244586247525444,1.1617939346162742,2.171839601369993,0.0,0.5735672344424639,0.35708103423473625,0.8936407349684407
chirp_9db,validation,short_gaps,14599,zero_fill,2.1645827067331647,1.0,1.4123148501896248,0.0,0.3826477775925382,,0.9435967600109687
chirp_9db,validation,short_gaps,14599,linear,2.1911336606196663,1.0122660842683036,1.4398936884813427,0.0,0.38734136747756737,-0.017817537072353663,0.9421648334999438
chirp_9db,validation,short_gaps,14599,pchip,2.1991662197726956,1.0159769885123608,1.4452386296463047,0.0,0.38876133673941454,-0.041770479100645116,0.9417332013698992
chirp_9db,validation,short_gaps,14599,autoregression,2.0009851012828457,0.9244207186256126,1.2812074871354477,0.0,0.3537275335425877,0.4112453991503471,0.9520194358586315
chirp_9db,validation,short_gaps,14599,pca_r32_l01,7.194690436579431,3.3238233005371343,4.2032704046441935,0.0,1.2718535990608295,0.7121098750883023,0.7424803884297231
chirp_9db,validation,short_gaps,14599,pca_r64_l01,4.4713029438304455,2.065665095596478,2.9195993247528422,0.0,0.7904221580804701,0.8883883217133816,0.870978519691419
chirp_9db,validation,short_gaps,14599,pca_r96_l01,1.1280031273087827,0.5211180537477311,0.8731332586387966,0.0,0.19940466512991817,0.874030742412833,0.9852439478152677
chirp_9db,validation,short_gaps,14599,pca_r64_l001,7.8270134380440535,3.6159456571917055,4.592118142441223,0.0,1.3836335696197959,0.9119632207454145,0.7596425106804499
chirp_9db,validation,short_gaps,14599,pca_r64_l1,1.3787497693970485,0.6369586919032019,1.025187022920338,0.0,0.2437308278750104,0.7728918936212039,0.9775224145873749
chirp_9db,validation,short_gaps,14599,template_1,3.9389303758157537,1.819718120986226,2.4580808696128624,0.0,0.6963110948402489,-0.7767814553137766,0.8171758494656667
chirp_9db,validation,short_gaps,14599,dictionary_8,3.3166164757431638,1.5322197971121527,2.169153345374271,0.0,0.5863005001482549,-0.5570842333440997,0.8682396906981035
chirp_9db,validation,short_gaps,14599,dictionary_24,2.284351952992643,1.0553313328647242,1.643139477663726,0.0,0.4038201891444579,0.07016687887665354,0.9371116148607352
chirp_9db,validation,short_gaps,14599,dictionary_48,2.3857950350114288,1.1021962928883058,1.6187841742263998,0.0,0.42175296194444445,-0.1765424650977468,0.9312131741970564
chirp_9db,validation,long_gaps,12000,zero_fill,1.5988968529667953,1.0,0.8636524205674009,0.0,0.5287854306242433,,0.9154608735225179
chirp_9db,validation,long_gaps,12000,linear,1.60616940937334,1.0045484837830847,0.8948912685843362,0.0,0.5311906025801693,-0.0030904399160220026,0.9146744209323328
chirp_9db,validation,long_gaps,12000,pchip,1.6091535554090388,1.0064148618612965,0.9060812720285042,0.0,0.5321775161159641,-0.0014883830701561266,0.914350821738999
chirp_9db,validation,long_gaps,12000,autoregression,1.5979321836452525,0.9993966656950054,0.8553307620375994,0.0,0.5284663962339664,0.04877815332663339,0.9155679986691507
chirp_9db,validation,long_gaps,12000,pca_r32_l01,19.26131550800138,12.046627943673478,8.64387685209179,0.0,6.370081344765423,-0.5460568496773978,-0.03744199445373743
chirp_9db,validation,long_gaps,12000,pca_r64_l01,6.012186799202071,3.7602092893273884,3.86728933531301,0.0,1.9883438882942632,-0.5423057213082325,0.3626550280977203
chirp_9db,validation,long_gaps,12000,pca_r96_l01,3.7671476854786206,2.356091750689595,2.310315450822008,0.0,1.2458669909786249,-0.5304262326249776,0.6121048290172009
chirp_9db,validation,long_gaps,12000,pca_r64_l001,13.534737472686656,8.46504729030681,7.731527000234351,0.0,4.47619367665947,-0.6535970904618966,0.004579521304928574
chirp_9db,validation,long_gaps,12000,pca_r64_l1,2.5122644635325306,1.5712486136119148,1.6123267238083339,0.0,0.8308533747665217,-0.35577606272310774,0.797293748556594
chirp_9db,validation,long_gaps,12000,template_1,2.010264349681574,1.2572820729188852,0.8935922261447843,0.0,0.6648324423445539,0.587576045934325,0.8897027734161415
chirp_9db,validation,long_gaps,12000,dictionary_8,1.2142747142534762,0.7594453088079806,0.8249030806048782,0.0,0.40158361465358944,0.6892069661940325,0.9527747069283522
chirp_9db,validation,long_gaps,12000,dictionary_24,1.2973862959039344,0.8114258862268694,0.8653190964952563,0.0,0.42907018666813346,0.6070256092517828,0.9454281466717026
chirp_9db,validation,long_gaps,12000,dictionary_48,2.3418622812692207,1.4646737698706664,1.5454931117477506,0.0,0.7744981501250942,-0.1402155393899355,0.8246826137152719
chirp_9db,validation,long_gaps,12236,zero_fill,1.5406971514064507,1.0,1.1264312259956755,0.0,0.5095376885358871,,0.8949952817738603
chirp_9db,validation,long_gaps,12236,linear,1.7309522676412095,1.123486381513123,1.2330455217082175,0.0,0.5724586539377444,0.004291507203677647,0.8686241278001208
chirp_9db,validation,long_gaps,12236,pchip,1.7406004178494796,1.129748579245794,1.2462438863864735,0.0,0.5756494796956044,0.003922727284226382,0.8671841673571569
