sample,modality,degradation,method,PSNR_dB,SSIM_global,MAE_8bit,RMS_contrast
23,optical,severe,auto_mask_telea_inpaint,15.925580951492673,0.43146377508765543,32.064765625,19.466188450687564
23,optical,motion,degraded_input,18.897011186304454,0.7388983418438644,21.414071180555556,24.676122958603536
23,optical,motion,nlm_only_conservative,18.732985478891006,0.7286547197587927,21.91318142361111,23.90766371211081
23,optical,motion,bilateral_only_conservative,18.875491858765557,0.7345187574143938,21.559375,24.08992489812333
23,optical,motion,gaussian_clahe,18.369375060019113,0.8020030867480716,22.522734375,38.91397606953938
23,optical,motion,median_clahe,18.429691764900276,0.8010449171654992,22.29526909722222,38.547683072354914
23,optical,motion,bilateral_clahe,18.595136613290236,0.8108533568326409,21.85849826388889,38.48563054415873
23,optical,motion,nlm_clahe,18.64381124327946,0.8118192905313023,21.85103298611111,36.902908620208834
23,optical,motion,nlm_clahe_unsharp,18.636264270596776,0.8127012242463572,21.84926215277778,37.238222748489015
23,optical,motion,auto_mask_telea_inpaint,18.094916013093485,0.6832376720499159,23.44858940972222,25.99390156823614
23,thermal,moderate,degraded_input,20.390314338057593,0.902189493314234,20.36895833333333,42.34597488004612
23,thermal,moderate,nlm_only_conservative,20.495597152196424,0.9038257398368287,20.252604166666668,41.80516984061496
23,thermal,moderate,bilateral_only_conservative,20.283095316009078,0.8981759111312698,20.835859375,41.31077877091324
23,thermal,moderate,gaussian_clahe,18.13296962697467,0.8888551157547244,26.905807291666665,52.65026441204241
23,thermal,moderate,median_clahe,18.165193823615795,0.8881962519424842,26.72578125,52.06683032248872
23,thermal,moderate,bilateral_clahe,18.747190141261466,0.9010936860508956,25.225390625,52.52145201291793
23,thermal,moderate,nlm_clahe,19.324875211017716,0.9153078750461335,23.708216145833333,53.721157619677776
23,thermal,moderate,nlm_clahe_unsharp,19.31561404838537,0.9155718809631403,23.657838541666667,54.16591436907314
23,thermal,moderate,auto_mask_telea_inpaint,19.19999269811945,0.8720632252957251,23.518450520833333,43.52546959694959
23,thermal,severe,degraded_input,16.543206893735423,0.7193983587687311,32.016575520833335,30.47661657528483
23,thermal,severe,nlm_only_conservative,16.730495740832207,0.7270146551903509,31.66095052083333,29.086085127814517
23,thermal,severe,bilateral_only_conservative,16.73734270234048,0.7260392153769811,31.675794270833332,28.63169992484457
